_id,nb,room_type,_owner,_role,_rev
Room~~Ball1,701.00000,Room_Type~~07-Ball,AnounymousUserId,$ANONYMOUS,""
Room~~Conference1,601.00000,Room_Type~~06-Conference,AnounymousUserId,$ANONYMOUS,""
Room~~DoubleDeluxe1,101.00000,Room_Type~~01-DoubleDeluxe,AnounymousUserId,$ANONYMOUS,""
Room~~DoubleDeluxe2,102.00000,Room_Type~~01-DoubleDeluxe,AnounymousUserId,$ANONYMOUS,""
Room~~DoubleDeluxe3,103.00000,Room_Type~~01-DoubleDeluxe,AnounymousUserId,$ANONYMOUS,""
Room~~DoubleDeluxe4,104.00000,Room_Type~~01-DoubleDeluxe,AnounymousUserId,$ANONYMOUS,""
Room~~EconomyDouble1,401.00000,Room_Type~~04-EconomyDouble,AnounymousUserId,$ANONYMOUS,""
Room~~EconomyDouble2,402.00000,Room_Type~~04-EconomyDouble,AnounymousUserId,$ANONYMOUS,""
Room~~EconomyDouble3,403.00000,Room_Type~~04-EconomyDouble,AnounymousUserId,$ANONYMOUS,""
Room~~EconomyDouble4,404.00000,Room_Type~~04-EconomyDouble,AnounymousUserId,$ANONYMOUS,""
Room~~EconomySigle1,501.00000,Room_Type~~05-EconomySigle,AnounymousUserId,$ANONYMOUS,""
Room~~EconomySigle2,502.00000,Room_Type~~05-EconomySigle,AnounymousUserId,$ANONYMOUS,""
Room~~EconomySigle3,503.00000,Room_Type~~05-EconomySigle,AnounymousUserId,$ANONYMOUS,""
Room~~EconomySigle4,504.00000,Room_Type~~05-EconomySigle,AnounymousUserId,$ANONYMOUS,""
Room~~Honeymoon1,301.00000,Room_Type~~03-Honeymoon,AnounymousUserId,$ANONYMOUS,""
Room~~Honeymoon2,302.00000,Room_Type~~03-Honeymoon,AnounymousUserId,$ANONYMOUS,""
Room~~Honeymoon3,303.00000,Room_Type~~03-Honeymoon,AnounymousUserId,$ANONYMOUS,""
Room~~Honeymoon4,304.00000,Room_Type~~03-Honeymoon,AnounymousUserId,$ANONYMOUS,""
Room~~SigleDeluxe1,201.00000,Room_Type~~02-SigleDeluxe,AnounymousUserId,$ANONYMOUS,""
Room~~SigleDeluxe2,202.00000,Room_Type~~02-SigleDeluxe,AnounymousUserId,$ANONYMOUS,""
Room~~SigleDeluxe3,203.00000,Room_Type~~02-SigleDeluxe,AnounymousUserId,$ANONYMOUS,""
Room~~SigleDeluxe4,204.00000,Room_Type~~02-SigleDeluxe,AnounymousUserId,$ANONYMOUS,""
